Region,Season,Distance,Pos,S,SW,W,NW,N,NE,E,SE
6,Cooling,3,1to1,0.726121663,0.729039665,0.662943163,0.680032461,0.65970269,0.682680205,0.674648767,0.727739784
6,Cooling,2,1to1,0.687991728,0.608213826,0.541114699,0.558229877,0.5551866,0.558613762,0.535900489,0.60918255
6,Cooling,1,1to1,0.48381896,0.385247425,0.329448528,0.355390899,0.366397091,0.350638139,0.321860365,0.377369853
6,Heating,40,1to3,0.972903867,0.944146178,0.93199172,0.885524618,0.862443836,0.89187911,0.93681143,0.947836473
6,Heating,25,1to3,0.933696159,0.885111902,0.873697615,0.846591383,0.823126055,0.842500266,0.87901715,0.887874813
6,Heating,19,1to3,0.897557826,0.811623961,0.811536432,0.805535763,0.787085498,0.800837577,0.81584357,0.804677805
6,Heating,13,1to3,0.777406511,0.67950749,0.687763975,0.705434092,0.713071251,0.716889633,0.691955421,0.651404087
6,Heating,9,1to3,0.49153242,0.519065301,0.536272021,0.592701297,0.603915766,0.588650909,0.532436059,0.482807749
6,Heating,7,1to3,0.3625839,0.408506671,0.416013439,0.49886842,0.504896578,0.487051922,0.409258637,0.377722064
6,Heating,6,1to3,0.294272102,0.348567891,0.35608866,0.435820607,0.444935799,0.4307165,0.345158772,0.319142584
6,Heating,5,1to3,0.2213776,0.271807481,0.289969612,0.358753319,0.369175444,0.366404365,0.278678163,0.249069236
6,Heating,4,1to3,0.150854886,0.195010473,0.21232317,0.278838692,0.282449324,0.292727216,0.203207062,0.173510442
6,Heating,3,1to3,0.086525339,0.115004735,0.131820914,0.187858561,0.182680226,0.18784675,0.123125491,0.104715517
6,Heating,2,1to3,0.033880788,0.044888346,0.055604848,0.086747089,0.078167498,0.08621764,0.046687408,0.045572563
6,Heating,1,1to3,0.009633317,0.016883941,0.018954314,0.036407981,0.032334714,0.037424803,0.02238394,0.014324297
6,Heating,40,2to3,0.977756755,0.968186837,0.951488058,0.923246129,0.909720732,0.928884908,0.955918492,0.972250229
6,Heating,25,2to3,0.96123308,0.931909628,0.923234877,0.901405957,0.891961531,0.900882313,0.927066633,0.935004639
6,Heating,19,2to3,0.940767049,0.89891587,0.890049887,0.87840907,0.873839275,0.874514568,0.892449398,0.902494579
6,Heating,13,2to3,0.898851311,0.819843494,0.811688479,0.824814795,0.830108936,0.818537884,0.813455273,0.816945272
6,Heating,9,2to3,0.812904385,0.699582199,0.696050966,0.733273619,0.754145571,0.736812392,0.696772655,0.679832794
